冮 	\nr\
挨门 	\d\
挨着 	\v\
哎 	\e\
哀愁 	\an\
哀悼 	\vn\
哀嚎 	\v\
哀乐 	\n\
哀求 	\v\
哀思 	\n\
哀叹 	\vn\
哀怨 	\a\
皑皑 	\z\
癌 	\n\
癌变 	\n\
癌细胞 	\n\
癌症 	\n\
矮 	\a\
矮秆 	\b\
矮寨镇 	\ns\
艾尔河 	\ns\
艾菲尔铁塔 	\n\
艾哈迈迪亚 	\ns\
艾滋病 	\n\
艾滋病毒 	\n\
碍 	\v\
碍事 	\a\
爱 	\j/vn\
爱不释手 	\i\
爱厂如家 	\l\
爱戴 	\vn\
爱尔兰 	\ns\
爱尔兰人 	\n\
爱岗敬业 	\l\
爱国 	\a/nr/vn\
爱国会 	\n\
爱国人士 	\n\
爱国同胞 	\n\
爱国统一战线	\nz\
爱国心 	\n\
爱国至诚 	\l\
爱国主义 	\n\
爱好 	\n/v\
爱好者 	\n\
爱护 	\vn\
爱教 	\a/v\
爱理不理 	\l\
爱立信 	\nz\
爱立信手机	\nz\
爱怜 	\v\
爱恋 	\v\
爱侣 	\n\
爱美 	\a\
爱民 	\nr/v\
爱莫能助 	\i\
爱慕 	\v\
爱情 	\n\
爱人 	\n\
爱沙尼亚 	\ns\
爱沙尼亚共和国 	\ns\
爱孙 	\n\
爱委会 	\j\
爱心 	\n\
爱幼 	\v\
爱憎 	\n\
爱子 	\n\
爱子教子 	\l\
鞍钢 	\n\
鞍马 	\n\
鞍马劳顿 	\i\
鞍山 	\ns\
鞍山市 	\ns\
氨化池 	\n\
氨基酸 	\n\
安 	\Ag/j/nr/v\
安保 	\j\
安次区 	\ns\
安达 	\ns/nz\
安达卢西亚 	\ns\
安大略省 	\ns\
安大略省人 	\n\
安德鲁斯 	\ns\
安德鲁斯空军机场	\ns\
安第斯 	\ns\
安定 	\an/nr/vn\
安定团结 	\l\
安度 	\v\
安顿 	\v\
安多 	\ns\
安多县 	\ns\
安尔乐 	\nz\
安放 	\v\
安分 	\a\
安抚 	\vn\
安哥拉 	\ns\
安徽 	\ns\
安徽籍 	\n\
安济 	\ns\
安家 	\v\
安家落户 	\i\
安检门 	\j\
安静 	\a\
安居 	\n/vn\
安居而乐教 	\l\
安居工程 	\l\
安居乐教 	\l\
安居乐业 	\i\
安卡拉 	\ns\
安康 	\a/ns\
安乐窝 	\n\
安理会 	\j\
安曼 	\ns\
安曼市 	\ns\
安盟 	\j\
安民 	\nr/v\
安民告示 	\i\
安宁 	\a/nr\
安宁市 	\ns\
安排 	\vn\
安贫乐道 	\i\
安庆 	\nr/ns\
安庆市 	\ns\
安丘 	\ns\
安丘市 	\ns\
安全 	\ad/an/nr\
安全带 	\n\
安全感 	\n\
安全局 	\n\
安全壳 	\n\
安全区 	\n\
安全网 	\n\
安全系数 	\l\
安全线 	\n\
安全性 	\n\
安然 	\z\
安然无恙 	\i\
安上 	\v\
安身之地 	\n\
安顺 	\ns\
安徒生奖 	\nz\
安危 	\n\
安危祸福 	\i\
安慰 	\v\
安稳 	\ad/an\
安西 	\ns\
安溪 	\ns\
安溪县 	\ns\
安详 	\a\
安享晚年 	\l\
安心 	\ad\
安阳 	\ns\
安阳市 	\ns\
安阳县 	\ns\
安逸 	\a\
安于 	\v\
安于现状 	\l\
安葬 	\v\
安置 	\vn\
安置率 	\n\
安装 	\vn\
俺 	\r\
俺村 	\r\
俺家 	\r\
俺们 	\r\
按 	\p/v\
按部就班 	\i\
按键 	\n\
按揭 	\vn\
按劳分配 	\l\
按理 	\d\
按理说 	\l\
按摩 	\vn\
按摩厅 	\n\
按钮 	\n\
按期 	\d\
按时 	\d\
按说 	\d\
按图索骥 	\i\
按需分配 	\l\
按语 	\n\
按照 	\p/v\
按住 	\v\
按捺不住 	\i\
暗 	\ad/v\
暗藏 	\v\
暗淡 	\a\
暗地里 	\d\
暗访 	\vn\
暗红 	\b\
暗礁 	\n\
暗色 	\n\
暗杀 	\vn\
暗算 	\v\
暗锁 	\n\
暗中斗黑 	\l\
暗自 	\d\
岸 	\Ng/n\
岸边 	\s\
岸区 	\s\
岸上 	\s\
案 	\Ng/q\
案发 	\v\
案件 	\n\
案卷 	\n\
案例 	\n\
案情 	\n\
案头 	\n/s\
案值 	\n\
案子 	\n\
昂 	\Vg/nr\
昂贵 	\an\
昂然 	\z\
昂首 	\v\
昂首挺胸 	\l\
昂扬 	\a/v\
昂扬斗志 	\l\
盎然 	\z\
盎司 	\q\
凹底镇 	\ns\
凹陷 	\v\
敖汉旗 	\ns\
熬 	\v\
翱翔 	\vn\
傲 	\a\
傲岸 	\a\
傲慢 	\an\
奥 	\j\
奥迪车 	\n\
奥地利 	\ns\
奥林匹克 	\nz\
奥林匹克村 	\n\
奥秘 	\n\
奥妙 	\a/n\
奥莫教堂	\ns\
奥斯卡 	\nz\
奥斯陆 	\ns\
奥斯陆协议	\nz\
奥斯马奇 	\ns\
奥斯马奇地区	\ns\
奥斯曼帝国 	\ns\
奥斯威辛 	\ns\
奥体 	\j\
奥体中心	\ns\
奥委会 	\j\
奥希金斯 	\ns\
奥希金斯公园	\ns\
奥新社 	\j\
奥运 	\j\
奥运村 	\n\
奥运会 	\j\
懊悔 	\v\
懊恼 	\v\
澳 	\h/j\
澳大利亚 	\ns\
澳分 	\q\
澳门 	\ns\
澳门地区	\ns\
澳元 	\q\
澳众院 	\j\
澳洲 	\ns\
芭蕾 	\n\
芭蕾舞 	\n\
芭蕾舞剧 	\n\
芭蕾舞团 	\n\
扒 	\v\
扒开 	\v\
扒窃 	\vn\
吧 	\y\
吧嗒 	\o\
八宝山 	\ns\
八宝山革命公墓	\ns\
八达岭 	\ns\
八达岭长城	\ns\
八达岭长城 	\ns\
八达岭长城特区	\ns\
八达岭高速公路	\nz\
八大 	\j\
八大处 	\ns\
八大处公园	\ns\
八点半 	\t\
八点钟 	\t\
八渡 	\ns\
八方来客 	\i\
八方支援 	\l\
八家户 	\ns\
八家户村 	\ns\
八角 	\n\
八角田 	\ns\
八角亭 	\n\
八九点钟 	\t\
八里罕镇 	\ns\
八路军 	\n\
八面玲珑 	\i\
八旗 	\n\
八日 	\t\
八时 	\t\
八所 	\ns\
八五 	\j/m\
八仙 	\n\
八仙过海 	\i\
八仙过海各显其能 	\l\
八仙过海各显神通 	\i\
八仙桌 	\n\
八旬 	\m\
八一 	\t\
八一南昌起义	\nz\
八月 	\t\
八运 	\j\
八运会 	\j\
八中 	\j\
八字 	\n\
疤痕 	\n\
巴 	\j/nr\
巴布亚新几内亚 	\ns\
巴尔干 	\ns\
巴尔干半岛	\ns\
巴伐利亚 	\ns\
巴伐利亚州 	\ns\
巴方 	\n\
巴格达 	\ns\
巴哈马 	\ns\
巴基斯坦 	\ns\
巴基斯坦伊斯兰共和国	\ns\
巴结 	\v\
巴解 	\j\
巴解组织 	\j\
巴库 	\nz\
巴拉诺夫 	\nz\
巴勒斯坦 	\ns\
巴勒斯坦地区	\ns\
巴勒斯坦自治区	\ns\
巴厘虎 	\n\
巴黎 	\ns\
巴黎人 	\n\
巴黎圣母院	\ns\
巴里港 	\ns\
巴林 	\ns\
巴伦西亚 	\ns\
巴伦支海 	\ns\
巴伦支海地区	\ns\
巴洛克 	\nz\
巴马 	\ns\
巴茅茨 	\ns\
巴拿马 	\ns\
巴拿马国际博览会	\nz\
巴塞罗那 	\ns\
巴山雨夜 	\l\
巴士 	\n\
巴士底 	\nz\
巴士底广场	\ns\
巴蜀 	\n\
巴望 	\v\
巴西 	\ns\
巴西利亚 	\ns\
巴西利亚动物园	\ns\
巴西木 	\n\
巴雅 	\nz\
巴音郭楞 	\nz\
巴鱼 	\n\
巴扎 	\n\
巴掌 	\n\
巴中 	\ns\
巴中南江县 	\ns\
巴自治区	\ns\
拔 	\v\
拔除 	\v\
拔地而起 	\i\
拔掉 	\v\
拔秆剥桃棉 	\n\
拔高 	\v\
拔河 	\vn\
拔河绳 	\n\
拔尖 	\a\
拔剑 	\v\
拔腿 	\v\
拔秧 	\v\
跋 	\Ng\
跋涉 	\vn\
跋文 	\n\
把 	\Ng/m/p/q/v\
把把 	\v\
把持 	\v\
把关 	\vn\
把酒 	\v\
把酒言欢 	\l\
把脉 	\v\
把守 	\v\
把握 	\n/vn\
把握性 	\n\
把戏 	\n\
把下 	\s\
把盏 	\v\
把诊 	\v\
耙 	\n\
坝 	\n\
坝段 	\n\
坝区 	\n\
坝上 	\s\
坝体 	\n\
霸 	\Vg\
霸权 	\n\
霸权主义 	\n\
霸王 	\n\
霸王别姬 	\l\
霸占 	\v\
霸主 	\n\
罢 	\v\
罢工 	\v\
罢了 	\y\
罢休 	\v\
爸 	\n\
爸爸 	\n\
白 	\Ng/a/b/d/j/nr/v\
白（圭） 	\ns\
白（圭）晋（城）公路	\nz\
白皑皑 	\z\
白白 	\d\
白班 	\n\
白菜 	\n\
白菜帮 	\n\
白菜心 	\n\
白绸 	\n\
白搭 	\v\
白地 	\n\
白俄罗斯 	\ns\
白发 	\n\
白发人 	\n\
白发翁 	\n\
白费 	\v\
白粉 	\n\
白粉病 	\n\
白公馆 	\ns\
白宫 	\n\
白瓜子 	\n\
白关 	\ns\
白关镇 	\ns\
白果 	\n\
白果树 	\n\
白虎团 	\nz\
白花花 	\z\
白晋线 	\nz\
白酒 	\n\
白卷 	\n\
白兰地 	\n\
白莲 	\n\
白领 	\b\
白鹿原 	\ns\
白萝卜 	\n\
白马 	\n\
白毛风 	\n\
白毛女 	\n\
白米 	\n\
白棉 	\n\
白面 	\n\
白沫 	\n\
白内障 	\n\
白嫩 	\z\
白袍 	\n\
白棋 	\n\
白热化 	\v\
白人 	\n\
白日 	\n\
白三叶 	\n\
白色 	\n\
白色恐怖 	\l\
白砂糖 	\n\
白沙 	\ns\
白沙黎族自治县	\ns\
白沙县 	\ns\
白蛇传 	\n\
白石灰 	\n\
白手起家 	\i\
白霜 	\n\
白水镇 	\ns\
白送 	\v\
白塔 	\nz\
白檀 	\n\
白天 	\t\
白天鹅 	\n\
白条 	\n\
白条肉 	\n\
白条鸭 	\n\
白铁 	\n\
白雪 	\n\
白雪皑皑 	\i\
白雪公主 	\n\
白血病 	\n\
白杨 	\n\
白洋淀 	\ns\
白药 	\n\
白衣 	\n\
白衣天使 	\l\
白银 	\n\
白银市 	\ns\
白釉 	\n\
白玉兰 	\nz\
白云 	\ns\
白云观 	\ns\
白云山 	\ns\
白云山云台花园	\ns\
白宰鸡 	\n\
白纸坊 	\ns\
白纸黑字 	\i\
白昼 	\n\
白族 	\nz\
白璧无瑕 	\i\
白皙 	\z\
白鹭 	\n\
白鲑 	\n\
白髯 	\n\
柏 	\Ng/nr\
柏林 	\nr/ns\
柏施 	\nz\
柏树 	\n\
柏油 	\n\
柏枝 	\n\
百 	\m\
百八十 	\m\
百帮 	\nz\
百倍 	\m\
百变通 	\nz\
百废待兴 	\l\
百分 	\m\
百分比 	\n\
百分点 	\n\
百分制 	\n\
百富勤 	\nz\
百合花 	\n\
百花 	\nz\
百花奖 	\nz\
百花莲 	\n\
百花齐放 	\i\
百花园 	\n\
百花争艳 	\i\
百花洲 	\nz\
百卉吐艳 	\i\
百货 	\n\
百货大楼 	\n\
百货店 	\n\
百货公司 	\n\
百货商店 	\n\
百货业 	\n\
百家争鸣 	\i\
百科全书 	\n\
百科全书式 	\n\
百刻图 	\n\
百孔千疮 	\i\
百老汇 	\n\
百里挑一 	\i\
百慕大 	\ns\
百年 	\m\
百年不遇 	\i\
百年大计 	\i\
百年之后 	\i\
百鸟朝凤 	\l\
百鸟园 	\n\
百强县 	\n\
百日 	\t\
百色 	\ns\
百十 	\m\
百事通 	\n\
百兽 	\n\
百思不得其解 	\i\
百态纷呈 	\l\
百团大战 	\nz\
百万 	\m\
百万富翁 	\n\
百闻不如一见 	\l\
百姓 	\n\
百姓家 	\n\
百业兴旺 	\l\
百亿 	\m\
百育乡 	\ns\
百折不挠 	\i\
百舸争流 	\i\
摆 	\v\
摆摆 	\v\
摆布 	\v\
摆地摊 	\l\
摆动 	\v\
摆放 	\vn\
摆列 	\v\
摆弄 	\v\
摆平 	\v\
摆起 	\v\
摆勺 	\ns\
摆勺村 	\ns\
摆勺村人 	\n\
摆设 	\n\
摆式列车 	\n\
摆手 	\v\
摆摊 	\v\
摆脱 	\v\
摆正 	\v\
摆制 	\n\
败 	\v\
败北 	\v\
败坏 	\v\
败绩 	\n\
败露 	\vn\
败亡 	\v\
败走麦城 	\i\
拜 	\nr/v\
拜倒 	\v\
拜访 	\v\
拜佛 	\v\
拜会 	\vn\
拜金主义 	\n\
拜科努尔 	\ns\
拜科努尔发射场	\ns\
拜年 	\vn\
拜年法儿 	\n\
拜年会 	\n\
拜年钱 	\n\
拜师 	\v\
拜寿 	\v\
拜天地 	\v\
拜占庭 	\ns\
斑白 	\z\
斑斑 	\z\
斑豹一窥 	\i\
斑驳 	\z\
斑驳陆离 	\i\
斑点 	\n\
斑痕 	\n\
斑马 	\n\
斑斓 	\z\
斑鸠 	\n\
班 	\nr/q\
班长 	\n\
班车 	\n\
班次 	\n\
班达 	\nz\
班机 	\n\
班吉 	\ns\
班级 	\n\
班加苏 	\nz\
班列 	\n\
班轮 	\n\
班师回营 	\l\
班主 	\n\
班主任 	\n\
班子 	\n\
班组 	\n\
班禅 	\n\
搬 	\v\
搬家 	\vn\
搬进 	\v\
搬迁 	\vn\
搬运 	\v\
搬走 	\v\
扳 	\v\
扳倒 	\v\
扳道夫 	\n\
扳回 	\v\
般 	\u\
般般 	\z\
颁 	\Vg\
颁布 	\vn\
颁发 	\v\
颁奖 	\vn\
颁奖会 	\n\
颁行 	\v\
颁证 	\v\
颁证会 	\n\
板 	\Ng/j/n\
板材 	\n\
板车 	\n\
板凳 	\n\
板房沟 	\ns\
板房沟乡 	\ns\
板胡曲 	\n\
板结 	\a\
板块 	\n\
板栗 	\n\
板桥 	\ns\
板桥村 	\ns\
板滞 	\a\
板子 	\n\
版 	\n\
版本 	\n\
版画 	\n\
版面 	\n\
版权 	\n\
版权局 	\n\
版式 	\n\
版税 	\n\
版图 	\n\
扮 	\v\
扮相 	\n\
扮演 	\v\
扮演者 	\n\
扮作 	\v\
拌 	\v\
拌种 	\v\
伴 	\v\
伴唱 	\vn\
伴儿 	\n\
伴侣 	\n\
伴生 	\v\
伴随 	\v\
伴随着 	\v\
伴舞 	\vn\
伴音 	\n\
伴有 	\v\
伴奏 	\vn\
半 	\m\
半百 	\m\
半壁江山 	\i\
半边山 	\n\
半侧 	\n\
半成品 	\n\
半大 	\b\
半岛 	\n\
半导体 	\n\
半导体业 	\n\
半点 	\m\
半儿 	\m\
半封建 	\b\
半价 	\n\
半截 	\m\
半截子 	\n\
半径 	\n\
半决赛 	\n\
半空 	\s\
半梦半醒 	\l\
半年 	\t\
半年前 	\t\
半瓶子晃荡 	\l\
半山腰 	\n\
半晌 	\m\
半身 	\n\
半生 	\m\
半数 	\m\
半数以上 	\m\
半天空 	\n\
半停产 	\vn\
半途而废 	\i\
半文盲 	\n\
半信半疑 	\i\
半夜 	\t\
半圆形 	\n\
半月 	\t\
半月刊 	\n\
半殖民地 	\n\
半宙 	\nz\
半自动 	\d\
办 	\j/v\
办案 	\v\
办报 	\vn\
办报人 	\n\
办厂 	\v\
办到 	\v\
办法 	\n\
办公 	\vn\
办公会 	\n\
办公会议 	\n\
办公楼 	\n\
办公室 	\n\
办公厅 	\n\
办公桌 	\n\
办教 	\vn\
办刊 	\v\
办理 	\vn\
办起 	\v\
办事 	\vn\
办事处 	\n\
办事员 	\n\
办水 	\j\
办水热 	\a\
办税 	\v\
办学 	\vn\
办证 	\v\
绊脚石 	\n\
邦 	\Ng\
邦交 	\n\
邦交国 	\n\
帮 	\q/v\
帮办 	\n\
帮帮 	\v\
帮衬 	\v\
帮带 	\vn\
帮扶 	\v\
帮工 	\v\
帮教 	\v\
帮困 	\vn\
帮忙 	\v\
帮腔 	\v\
帮手 	\n\
帮凶 	\n\
帮助 	\vn\
榜 	\n\
榜上无名 	\i\
榜上有名 	\l\
榜首 	\n\
榜样 	\n\
膀子 	\n\
绑 	\v\
绑架 	\vn\
绑扎 	\v\
棒 	\Ng/a\
棒曲霉素 	\n\
棒状 	\n\
磅 	\q\
磅秤 	\n\
磅礴 	\v\
蚌埠 	\ns\
蚌埠市 	\ns\
镑 	\q\
傍晚 	\t\
苞 	\Ng\
苞菜 	\n\
苞谷 	\n\
苞谷饭 	\n\
包 	\nr/q/v\
包办 	\v\
包庇 	\v\
包庇罪 	\n\
包村 	\v\
包村组 	\n\
包扶 	\v\
包袱 	\n\
包干 	\v\
包工头 	\n\
包裹 	\n/vn\
包含 	\v\
包户 	\vn\
包机 	\vn\
包括 	\v\
包揽 	\v\
包罗万象 	\i\
包容 	\v\
包头 	\ns\
包头市 	\ns\
包围 	\vn\
包厢 	\n\
包销 	\v\
包衣 	\vn\
包衣率 	\n\
包蕴 	\v\
包扎 	\v\
包治百病 	\l\
包装 	\n/vn\
包装袋 	\n\
褒贬 	\v\
褒贬不一 	\i\
褒奖 	\v\
剥 	\v\
剥夺 	\vn\
剥离 	\vn\
剥落 	\v\
剥弃 	\v\
剥蚀 	\v\
剥削 	\vn\
剥削阶级 	\n\
剥削者 	\n\
薄 	\a/nr\
薄薄的 	\z\
薄冰 	\n\
薄唇 	\n\
薄壳核桃 	\n\
薄弱 	\a\
薄弱校 	\n\
薄纱 	\n\
薄雾 	\n\
薄型 	\b\
保 	\nr/v\
保安 	\b/nr/v\
保安局 	\n\
保安族 	\nz\
保成 	\nz\
保持 	\vn\
保持者 	\n\
保存 	\vn\
保存期 	\n\
保定 	\ns\
保定市 	\ns\
保费 	\n\
保管 	\n/vn\
保管费 	\n\
保国 	\nr/ns\
保国村 	\ns\
保国乡 	\ns\
保护 	\n/vn\
保护编 	\n\
保护法 	\n\
保护费 	\n\
保护价 	\n\
保护局 	\n\
保护率 	\n\
保护膜 	\n\
保护区 	\n\
保护伞 	\n\
保护神 	\n\
保护套 	\n\
保护性 	\n\
保护主义 	\n\
保护主义者 	\n\
保户 	\n\
保级 	\v\
保级战 	\n\
保家卫国 	\l\
保加利亚 	\ns\
保健 	\b/n/vn\
保健操 	\n\
保健品 	\n\
保健品厂 	\n\
保健食品 	\n\
保健院 	\n\
保浇地 	\n\
保洁 	\b\
保靖 	\ns\
保靖县 	\ns\
保军转民 	\l\
保利 	\nz\
保利大厦	\ns\
保龄球 	\n\
保龄球道 	\n\
保留 	\vn\
保留剧目 	\l\
保留率 	\n\
保密 	\vn\
保密性 	\n\
保命田 	\n\
保姆 	\n\
保暖 	\an\
保暖房 	\n\
保暖棚 	\n\
保坪乡 	\ns\
保全 	\v\
保山 	\nr/ns\
保释 	\vn\
保收 	\vn\
保守 	\a/v\
保守党 	\n\
保守主义 	\n\
保税 	\v\
保税区 	\n\
保卫 	\vn\
保卫处 	\n\
保卫科 	\n\
保温 	\a\
保温房 	\n\
保温屋 	\n\
保鲜 	\vn\
保鲜剂 	\n\
保险 	\a/n/vn\
保险单 	\n\
保险法 	\n\
保险费率 	\n\
保险柜 	\n\
保险号 	\n\
保险金 	\n\
保险局 	\n\
保险卡 	\n\
保险业 	\n\
保修 	\v\
保修包换 	\l\
保养 	\vn\
保有 	\v\
保有量 	\n\
保佑 	\vn\
保育费 	\n\
保障 	\n/vn\
保障金 	\n\
保障线 	\n\
保障性 	\n\
保证 	\vn\
保证金 	\n\
保证人 	\n\
保值 	\vn\
保质期 	\n\
保重 	\v\
保住 	\v\
堡 	\Ng\
堡垒 	\n\
饱 	\a\
饱餐 	\v\
饱尝 	\v\
饱含 	\v\
饱和 	\vn\
饱和点 	\n\
饱经风霜 	\i\
饱览 	\v\
饱满 	\a\
饱食终日 	\i\
饱受 	\v\
宝宝 	\n\
宝贝 	\n\
宝藏 	\n\
宝刀 	\n\
宝刀不老 	\i\
宝岛 	\n\
宝地 	\n\
宝丰县 	\ns\
宝钢 	\n\
宝贵 	\a\
宝鸡 	\ns\
宝库 	\n\
宝林乡 	\ns\
宝马 	\nz\
宝日 	\nz\
宝山 	\nr/ns\
宝山镇 	\ns\
宝石 	\n\
宝塔 	\n\
宝应 	\ns\
宝应拾屯 	\ns\
宝珠 	\n\
宝座 	\n\
抱 	\v\
抱抱 	\v\
抱佛脚 	\l\
抱负 	\n\
抱歉 	\an\
抱拳礼 	\n\
抱养 	\v\
抱有 	\v\
抱怨 	\vn\
报 	\n/vn\
报案 	\vn\
报案人 	\n\
报表 	\n\
报偿 	\vn\
报酬 	\n\
报酬率 	\n\
报出 	\v\
报春 	\v\
报答 	\v\
报到 	\v\
报道 	\n/vn\
报端 	\n\
报恩 	\v\
报废 	\vn\
报复 	\vn\
报复性 	\b\
报告 	\n/vn\
报告会 	\n\
报告书 	\n\
报告厅 	\n\
报告团 	\n\
报告文学 	\l\
报告制 	\n\
报关 	\v\
报关单 	\n\
报国 	\v\
报国志 	\n\
报价 	\vn\
报捷 	\v\
报界 	\n\
报经 	\v\
报警 	\vn\
报警器 	\n\
报警台 	\n\
报警亭 	\n\
报刊 	\n\
报考 	\vn\
报考者 	\n\
报栏 	\n\
报名 	\v\
报名点 	\n\
报请 	\v\
报社 	\n\
报升 	\v\
报收 	\v\
报送 	\v\
报喜 	\v\
报喜者 	\n\
报箱 	\n\
报销 	\vn\
报晓 	\v\
报效 	\v\
报修 	\v\
报业 	\n\
报忧 	\v\
报忧者 	\n\
报载 	\v\
报章杂志 	\n\
报纸 	\n\
暴跌 	\vn\
暴动 	\vn\
暴风雪 	\n\
暴富 	\v\
暴力 	\n\
暴力化 	\v\
暴力式 	\b\
暴力团 	\n\
暴露 	\v\
暴晒 	\vn\
暴徒 	\n\
暴行 	\n\
暴饮暴食 	\l\
暴雨 	\n\
暴涨 	\v\
豹 	\Ng\
爆 	\v\
爆出 	\v\
爆发 	\v\
爆发力 	\n\
爆冷 	\v\
爆冷门 	\l\
爆裂 	\vn\
爆裂性 	\n\
爆满 	\v\
爆米花 	\n\
爆破 	\vn\
爆炸 	\vn\
爆炸物 	\n\
爆炸性 	\n\
爆绽 	\v\
爆竹 	\n\
爆竹声 	\n\
杯 	\Ng/q\
杯杯 	\q\
杯壁 	\b\
杯水车薪 	\i\
杯中 	\s\
杯子 	\n\
碑 	\n\
碑刻 	\n\
碑廊 	\n\
碑铭 	\n\
碑帖 	\n\
悲 	\Ag\
悲哀 	\an\
悲惨 	\a\
悲愤 	\an\
悲歌 	\n\
悲观 	\an\
悲欢 	\n\
悲欢离合 	\i\
悲剧 	\n\
悲戚 	\a\
悲切 	\a\
悲伤 	\a\
悲痛 	\an\
悲痛欲绝 	\i\
悲喜 	\n\
悲壮 	\a\
悲怆 	\a\
卑 	\Ag\
卑劣 	\a\
卑微 	\an\
北 	\f\
北爱 	\j\
北爱地区	\ns\
北爱尔兰 	\ns\
北岸 	\s\
北半球 	\n\
北冰洋 	\ns\
北部 	\f\
北部湾 	\n\
北仓 	\nz\
北侧 	\f\
北辰区 	\ns\
北大 	\j\
北大仓 	\ns\
北大荒 	\ns\
北大荒人 	\n\
北戴河 	\ns\
北导堤 	\n\
北电 	\j\
北甸子乡 	\ns\
北斗星 	\nz\
北伐战争 	\nz\
北方 	\f/s\
北非 	\ns\
北非洲 	\ns\
北丰 	\nz\
北风 	\n\
北钢 	\n\
北高加索地区	\ns\
北古村人 	\n\
北国 	\s\
北海 	\nr/ns\
北海村 	\ns\
北海道 	\ns\
北海港 	\ns\
北汉 	\t\
北航 	\j\
北河 	\ns\
北河乡 	\ns\
北横东街 	\ns\
北极 	\n\
北极带 	\n\
北极圈 	\n\
北郊 	\n/s\
北角 	\ns\
北晋沱 	\nz\
北京 	\ns\
北京百鸟园	\ns\
北京朝外大街	\ns\
北京朝阳体育馆	\ns\
北京城 	\n\
北京崇信商场	\ns\
北京大钟寺农贸市场	\ns\
北京德宝饭店	\ns\
北京地区	\ns\
北京第四清洁车辆场	\ns\
北京钓鱼台国宾馆	\ns\
北京东站	\ns\
北京动物园	\ns\
北京故宫	\ns\
北京光彩体育馆手球馆	\ns\
北京国奥中心体育馆	\ns\
北京国际饭店	\ns\
北京国际会议中心	\ns\
北京国家奥林匹克中心体育馆	\ns\
北京海淀剧院	\ns\
北京华联商厦	\ns\
北京话 	\nz\
北京京港城市广场	\ns\
北京京西宾馆	\ns\
北京老舍茶馆	\ns\
北京龙都宾馆	\ns\
北京路 	\ns\
北京牌 	\nz\
北京全国政协礼堂	\ns\
北京人民大会堂	\ns\
北京人民艺术剧院	\ns\
北京世纪剧院	\ns\
北京市 	\ns\
北京市百货大楼	\ns\
北京市东城职工自立市场	\ns\
北京市少年宫	\ns\
北京市新技术产业开发试验区	\ns\
北京首都国际机场	\ns\
北京王府井百货大楼	\ns\
北京西站	\ns\
北京新东安市场	\ns\
北京炎黄艺术馆	\ns\
北京音乐厅	\ns\
北京圆山大酒店	\ns\
北京云岗山区	\ns\
北京展览馆剧场	\ns\
北京站 	\ns\
北京中国美术馆	\ns\
北卡罗来纳州 	\ns\
北空 	\j\
北昆 	\j\
北美 	\ns\
北美地区	\ns\
北美洲 	\ns\
北欧 	\ns\
北票市 	\ns\
北平 	\ns\
北普陀 	\ns\
北轻 	\j\
北轻汽技改工程	\nz\
北上 	\v\
北师大 	\j\
北石店乡 	\ns\
北宋 	\t\
北威州 	\ns\
北纬 	\b/n\
北务乡 	\ns\
北新桥 	\ns\
北亚 	\ns\
